,AdmArea,District,Address,PropertyType,ObjectArea,Note,global_id,coordinates
0,Северо-Восточный административный округ,Северный,"город Москва, Челобитьевское шоссе, дом 10, корпус 3",помещение,130.3,,830003444,"[37.5557505210669, 55.9132060536351]"
1,Северный административный округ,Войковский,"город Москва, 2-й Новоподмосковный переулок, дом 8",помещение,418.4,,832169816,"[37.5093863494624, 55.8190360503113]"
2,Южный административный округ,Нагатино-Садовники,"город Москва, Каширское шоссе, дом 16",помещение,271.2,,830012159,"[37.6307633295987, 55.6621195812569]"
3,Зеленоградский административный округ,Савелки,"город Москва, город Зеленоград, корпус 607А",помещение,341.2,,830018528,"[37.2305148602122, 55.988520345021]"
4,Южный административный округ,Царицыно,"город Москва, улица Медиков, дом 14, корпус 2",помещение,97.2,,832169818,"[37.6759092494481, 55.6324100322577]"
5,Зеленоградский административный округ,Крюково,"город Москва, город Зеленоград, корпус 2033",помещение,176.2,,830021682,"[37.1720596724607, 55.9728521783098]"
6,Зеленоградский административный округ,Матушкино,"город Москва, город Зеленоград, корпус 232",помещение,155.3,,830021950,"[37.2029247807586, 56.0030914388332]"
7,Северный административный округ,Тимирязевский,"город Москва, Дмитровское шоссе, дом 5, корпус 1",помещение,51.5,,830022575,"[37.5767880988667, 55.8125420058979]"
8,Юго-Западный административный округ,Южное Бутово,"город Москва, улица Маршала Савицкого, дом 12",помещение,246.1,,830024482,"[37.5840158294533, 55.5042435843677]"
9,Восточный административный округ,Соколиная Гора,"город Москва, Щербаковская улица, дом 41А",помещение,65.6,,830033163,"[37.7330531557032, 55.7831331940532]"
10,Северный административный округ,Тимирязевский,"город Москва, улица Вучетича, дом 22",помещение,72.9,,832170522,"[37.5580995817952, 55.8117412721735]"
11,Восточный административный округ,Соколиная Гора,"город Москва, Щербаковская улица, дом 41А",помещение,56.5,,830047770,"[37.7330531557032, 55.7831331940532]"
12,Северный административный округ,Аэропорт,"город Москва, Планетная улица, дом 25",помещение,115.2,,832170525,"[37.5461070251681, 55.8019747660631]"
13,Северный административный округ,Тимирязевский,"город Москва, улица Костякова, дом 7/7",помещение,169.5,,832170530,"[37.5721608634976, 55.811496962948]"
14,Юго-Восточный административный округ,Южнопортовый,"город Москва, улица Петра Романова, дом 4, корпус 3",помещение,363.2,,830050223,"[37.6778453784279, 55.7083660714583]"
15,Северный административный округ,Бескудниковский,"город Москва, Бескудниковский бульвар, дом 19, корпус 2",помещение,112.7,,832170532,"[37.5579809513435, 55.8653762637112]"
16,Юго-Восточный административный округ,Некрасовка,"город Москва, Некрасовская улица, дом 9",помещение,139.5,,832187440,"[37.9270900840832, 55.6813807889176]"
17,Юго-Восточный административный округ,Некрасовка,"город Москва, Рождественская улица, дом 19, корпус 2",помещение,132.2,,830055143,"[37.9156048661894, 55.7046462754085]"
18,Северо-Восточный административный округ,Ярославский,"город Москва, Ярославское шоссе, дом 144",помещение,192.2,,830058724,"[37.7230276378263, 55.8792342438158]"
19,Зеленоградский административный округ,Крюково,"город Москва, город Зеленоград, корпус 1441",помещение,114.4,,830104740,"[37.1515024299877, 55.9874215068772]"
20,Юго-Восточный административный округ,Некрасовка,"город Москва, 2-я Вольская улица, дом 6",помещение,99.1,,830106370,"[37.9210004611228, 55.6852659640961]"
21,Восточный административный округ,Соколиная Гора,"город Москва, Щербаковская улица, дом 41А",помещение,60.1,,830107104,"[37.7330531557032, 55.7831331940532]"
22,Восточный административный округ,Соколиная Гора,"город Москва, Щербаковская улица, дом 41А",помещение,56.4,,830109670,"[37.7330531557032, 55.7831331940532]"
23,Северо-Восточный административный округ,Алексеевский,"город Москва, 3-я Мытищинская улица, дом 14А",помещение,352.2,,830110569,"[37.6455458235589, 55.8039332309826]"
24,Восточный административный округ,Соколиная Гора,"город Москва, Щербаковская улица, дом 41А",помещение,103.3,,832170541,"[37.7330531557032, 55.7831331940532]"
25,Восточный административный округ,Соколиная Гора,"город Москва, Щербаковская улица, дом 41А",помещение,58.0,,832170543,"[37.7330531557032, 55.7831331940532]"
26,Западный административный округ,Можайский,"город Москва, Беловежская улица, дом 55",помещение,212.1,,830136278,"[37.3933985357181, 55.7097659535993]"
27,Центральный административный округ,Тверской,"город Москва, улица Кузнецкий Мост, дом 6/3, строение 3",помещение,221.7,,832170551,"[37.6174793370986, 55.7611703203711]"
28,Южный административный округ,Братеево,"город Москва, улица Борисовские Пруды, дом 16, корпус 4",помещение,104.5,,832170552,"[37.7472861224352, 55.6339400557657]"
29,Южный административный округ,Даниловский,"город Москва, Автозаводская улица, дом 17, корпус 1",помещение,83.2,,832170553,"[37.6538457770114, 55.7044234552425]"
30,Южный административный округ,Даниловский,"город Москва, Автозаводская улица, дом 17, корпус 1",помещение,89.3,,832170564,"[37.6538457770114, 55.7044234552425]"
31,Зеленоградский административный округ,Крюково,"город Москва, город Зеленоград, корпус 2016",помещение,129.0,,832170567,"[37.1657377639485, 55.9722966378509]"
32,Северный административный округ,Восточное Дегунино,"город Москва, Дубнинская улица, дом 32",помещение,663.3,,832170569,"[37.5585388370174, 55.8833567078318]"
33,Северный административный округ,Ховрино,"город Москва, Онежская улица, дом 51, корпус 1",помещение,167.8,,832170571,"[37.5063662997224, 55.8584726387194]"
34,Юго-Западный административный округ,Южное Бутово,"город Москва, улица Маршала Савицкого, дом 28, корпус 1",помещение,209.8,,830151565,"[37.5965158842349, 55.5039044580906]"
